panel,kind,stage,condition,proposed,baseline,proposed_nmae,baseline_nmae,gain_pct,ci_low,ci_high,bonf4_low,bonf4_high,seed_gains,primary_family
electricity_transfer,shape,fixed1024,PULSE8_D32,C3,B0,7.004616621346081,6.956608365694504,-0.6901100813482941,-0.7355793275978972,-0.6410922191847707,-0.7486563008511903,-0.6297713482489947,"{""81551"": -0.12880028194330873, ""81552"": -1.2628127388505384}",False
electricity_transfer,shape,fixed1024,PULSE8_D32,C3,PLAIN,7.004616621346081,6.954884817546892,-0.7150629392699281,-0.729195247496337,-0.7014022162302147,-0.7343541412580253,-0.6976354306940757,"{""81551"": -0.8200136171814254, ""81552"": -0.609402438118356}",False
electricity_transfer,shape,fixed1024,PULSE8_D32,MAG_ONLY,DELTA_XY_BUDGET,7.003444761119022,6.957783697437312,-0.6562587408189602,-0.6987542868975566,-0.6104265637780071,-0.7094808739920082,-0.6020853463440737,"{""81551"": -0.14548333952155712, ""81552"": -1.1763341583859166}",False
electricity_transfer,shape,fixed1024,PULSE8_D32,MAG_ONLY,DELTA_XY_DEFAULT,7.003444761119022,6.930035800252543,-1.0592868923390508,-1.1062934145902275,-1.0036212639815745,-1.1224714726518665,-0.9935889611444718,"{""81551"": -0.8770627929953756, ""81552"": -1.2436057489293217}",False
electricity_transfer,shape,fixed1024,PULSE8_D32,MAG_ONLY,B0,7.003444761119022,6.956608365694504,-0.6732648003513475,-0.7210237703955591,-0.6215668897658133,-0.7341273982241064,-0.611201146065382,"{""81551"": -0.06077646560429528, ""81552"": -1.2981847596511775}",False
electricity_transfer,shape,fixed1024,PULSE8_D32,MAG_ONLY,PLAIN,7.003444761119022,6.954884817546892,-0.6982134837030696,-0.7144495396299633,-0.682192352768114,-0.7196557464531991,-0.6779808368916863,"{""81551"": -0.751520215979351, ""81552"": -0.6445462167625315}",False
electricity_transfer,shape,fixed1024,RAMP8_D32,C3,DELTA_XY_BUDGET,0.9076504279729247,0.9108071371461517,0.34658371069840044,0.08460622154985692,0.6101310135866644,0.021835210248815563,0.7091750507044757,"{""81551"": -3.353481028051397, ""81552"": 4.461434820546195}",False
electricity_transfer,shape,fixed1024,RAMP8_D32,C3,DELTA_XY_DEFAULT,0.9076504279729247,0.9369274146800219,3.124787069774859,2.65481269251686,3.60974731010325,2.5535173597857255,3.782890150368622,"{""81551"": 0.06880686946604264, ""81552"": 6.562440925626012}",False
electricity_transfer,shape,fixed1024,RAMP8_D32,C3,B0,0.9076504279729247,0.9182483895482787,1.1541497590393246,0.7885253298273346,1.546279809474114,0.7081803349233461,1.6408113263299902,"{""81551"": -4.068323978292687, ""81552"": 6.782075154260292}",False
electricity_transfer,shape,fixed1024,RAMP8_D32,C3,PLAIN,0.9076504279729247,0.9369748165708585,3.129688021419308,2.9053248449003712,3.349235987663958,2.8461597829682765,3.41639659984118,"{""81551"": 4.560945513375925, ""81552"": 1.3498495352294637}",False
