source,layer,arm,rank,holdout_direction_inner,holdout_direction_cosine,direction_defined,update_squared_norm,holdout_gradient_squared_norm,calibration_projection_energy,min_eigenvalue,eighth_eigenvalue,positive_eigenvalues
electricity,decoder.block.1.layer.0.SelfAttention.v,CROSS_BLOCK,8,1.6716725052868697e-09,0.1477794934810648,True,1.4060386836005437e-08,9.10074157471481e-09,1.4060386836005447e-08,-1.8740375188351733e-09,6.388486336066077e-12,136.0
electricity,decoder.block.1.layer.0.SelfAttention.v,FULL_GRADIENT,512,1.9006568813098125e-09,0.15655442498672278,True,1.619570910114743e-08,9.10074157471481e-09,1.619570910114743e-08,,,
electricity,decoder.block.1.layer.1.EncDecAttention.q,RANDOM_ORTHO,8,4.710846146008186e-08,0.018037935465418604,True,2.9486898981016153e-07,2.3131035848246246e-05,2.9486898981016153e-07,,,
electricity,decoder.block.1.layer.1.EncDecAttention.q,MEAN_SVD,8,2.338702308183296e-06,0.10731512189338706,True,2.05320806023276e-05,2.3131035848246246e-05,2.05320806023276e-05,-3.8998913161081785e-22,8.221620295221496e-08,436.0
electricity,decoder.block.1.layer.1.EncDecAttention.q,SECOND_MOMENT,8,2.3645250358355906e-06,0.10905137113117482,True,2.0324997034288074e-05,2.3131035848246246e-05,2.0324997034288064e-05,-1.0054739517423618e-21,2.1157805420144255e-06,494.0
electricity,decoder.block.1.layer.1.EncDecAttention.q,CROSS_BLOCK,8,2.2458845091774322e-06,0.10521138101263985,True,1.969945971342837e-05,2.3131035848246246e-05,1.9699459713428355e-05,-3.9938612624404836e-07,9.820272547885585e-09,123.0
electricity,decoder.block.1.layer.1.EncDecAttention.q,FULL_GRADIENT,512,2.366666836780109e-06,0.10763060837094943,True,2.0902949848887143e-05,2.3131035848246246e-05,2.0902949848887143e-05,,,
electricity,decoder.block.1.layer.1.EncDecAttention.v,RANDOM_ORTHO,8,4.3598078371638447e-07,0.01424011514095516,True,4.525278762839121e-06,0.00020713922940300322,4.52527876283912e-06,,,
electricity,decoder.block.1.layer.1.EncDecAttention.v,MEAN_SVD,8,1.6745632977620374e-05,0.08125777024797057,True,0.0002050269629586246,0.00020713922940300322,0.00020502696295862465,-1.300640278092907e-21,8.205385623473322e-06,511.0
electricity,decoder.block.1.layer.1.EncDecAttention.v,SECOND_MOMENT,8,1.5896565286850456e-05,0.0804142653512557,True,0.0001886592234352571,0.00020713922940300322,0.00018865922343525704,1.5906867247920454e-19,7.70911295363138e-05,512.0
electricity,decoder.block.1.layer.1.EncDecAttention.v,CROSS_BLOCK,8,1.1546352885169749e-05,0.05953695638652719,True,0.00018157415780352707,0.00020713922940300322,0.00018157415780352713,-9.677761173469924e-06,2.7697030631187813e-06,142.0
electricity,decoder.block.1.layer.1.EncDecAttention.v,FULL_GRADIENT,512,2.013091772183565e-05,0.08430385165854677,True,0.0002752770194247331,0.00020713922940300322,0.0002752770194247331,,,
