panel,stage,arm,seed,condition,checkpoint_step,absolute_correction_nmae,response_distortion_from_B0,ideal_response_error,B0_ideal_response_error,mean_response_to_true_shift_ratio
electricity_transfer,fixed1024,IDEAL,81552,SHIFT4,1024,0.12364924999268578,0.1187215695886776,0.16391939145520218,0.18352666565042586,0.9950201525837343
electricity_transfer,fixed1024,IDEAL,81552,SHIFT8,1024,0.2702355123578708,0.27181703727388135,0.20467919196245127,0.309340235587847,1.0048155663475469
electricity_transfer,fixed1024,IDEAL,81552,SHIFT_POINT,1024,0.1390493885472854,0.1329048520920433,,,
electricity_transfer,selected,IDEAL,81552,REFERENCE,512,0.040090198851786156,0.0,,,
electricity_transfer,selected,IDEAL,81552,SHIFT4,512,0.11060208843476094,0.10656827783410107,0.17714129940323012,0.18352666565042586,0.9947697332431565
electricity_transfer,selected,IDEAL,81552,SHIFT8,512,0.24674016909738977,0.24781851672919084,0.21905973088794228,0.309340235587847,1.0030422220169768
electricity_transfer,selected,IDEAL,81552,SHIFT_POINT,512,0.12126037540007163,0.11683664272537893,,,
electricity_transfer,fixed1024,MAG_ONLY,81551,REFERENCE,1024,0.02174024128786179,0.0,,,
electricity_transfer,fixed1024,MAG_ONLY,81551,SHIFT4,1024,0.0557373736422648,0.047113362890354386,0.17858553069201322,0.1908625361211774,0.9865164473029422
electricity_transfer,fixed1024,MAG_ONLY,81551,SHIFT8,1024,0.10781742695504351,0.09849128407788288,0.23685023769650082,0.2569809797716983,0.9868243631221798
electricity_transfer,fixed1024,MAG_ONLY,81551,SHIFT_POINT,1024,0.05914453000578783,0.051033323437703754,,,
electricity_transfer,selected,MAG_ONLY,81551,REFERENCE,768,0.01741398870300169,0.0,,,
electricity_transfer,selected,MAG_ONLY,81551,SHIFT4,768,0.048347268151201134,0.040253224503279963,0.18166199080760448,0.1908625361211774,0.9904900793629192
electricity_transfer,selected,MAG_ONLY,81551,SHIFT8,768,0.10612648626105092,0.09789689496676697,0.2366500183077559,0.2569809797716983,0.9914774784023885
electricity_transfer,selected,MAG_ONLY,81551,SHIFT_POINT,768,0.05175140100034205,0.04410625086753138,,,
electricity_transfer,fixed1024,MAG_ONLY,81552,REFERENCE,1024,0.019459799028927513,0.0,,,
electricity_transfer,fixed1024,MAG_ONLY,81552,SHIFT4,1024,0.051602254347138235,0.04930000041196278,0.17595381368752588,0.18352666565042586,0.982653185716091
electricity_transfer,fixed1024,MAG_ONLY,81552,SHIFT8,1024,0.0946456376904472,0.09562488337903087,0.2506592767415113,0.309340235587847,0.9807117042060562
electricity_transfer,fixed1024,MAG_ONLY,81552,SHIFT_POINT,1024,0.05666213465009694,0.05459372127438615,,,
electricity_transfer,selected,MAG_ONLY,81552,REFERENCE,768,0.019416140897578427,0.0,,,
electricity_transfer,selected,MAG_ONLY,81552,SHIFT4,768,0.05708792826026236,0.05342450593286295,0.1779901314352284,0.18352666565042586,0.9857900926370033
electricity_transfer,selected,MAG_ONLY,81552,SHIFT8,768,0.11119346505525173,0.11143330125522463,0.2441331714173887,0.309340235587847,0.9842804970527993
electricity_transfer,selected,MAG_ONLY,81552,SHIFT_POINT,768,0.06220229952573478,0.059120872820219744,,,
electricity_transfer,fixed1024,PLAIN,81551,REFERENCE,1024,0.01730426441391468,0.0,,,
electricity_transfer,fixed1024,PLAIN,81551,SHIFT4,1024,0.07155050052910925,0.06517105758723621,0.18115092646346567,0.1908625361211774,0.9785985075292735
electricity_transfer,fixed1024,PLAIN,81551,SHIFT8,1024,0.1281813482589405,0.12034571571739525,0.25568307525408634,0.2569809797716983,0.9810657032201194
electricity_transfer,fixed1024,PLAIN,81551,SHIFT_POINT,1024,0.07049570354114162,0.06450656226841428,,,
electricity_transfer,selected,PLAIN,81551,REFERENCE,512,0.01657886431113475,0.0,,,
electricity_transfer,selected,PLAIN,81551,SHIFT4,512,0.05438676236363328,0.04473821003285316,0.17945097515800373,0.1908625361211774,0.9859080833566013
electricity_transfer,selected,PLAIN,81551,SHIFT8,512,0.10786628934724272,0.09789152213512751,0.2407425422928031,0.2569809797716983,0.9881420430213387
electricity_transfer,selected,PLAIN,81551,SHIFT_POINT,512,0.05426730475442178,0.04496030490876482,,,
electricity_transfer,fixed1024,PLAIN,81552,REFERENCE,1024,0.0172246981662812,0.0,,,
electricity_transfer,fixed1024,PLAIN,81552,SHIFT4,1024,0.0412010527311322,0.03598251014578138,0.1797472777870947,0.18352666565042586,0.9774033524035779
electricity_transfer,fixed1024,PLAIN,81552,SHIFT8,1024,0.061688012910324184,0.06025534222843473,0.2778434837614088,0.309340235587847,0.9745204605779847
electricity_transfer,fixed1024,PLAIN,81552,SHIFT_POINT,1024,0.045429672070205734,0.04021581089690279,,,
electricity_transfer,selected,PLAIN,81552,REFERENCE,1024,0.0172246981662812,0.0,,,
electricity_transfer,selected,PLAIN,81552,SHIFT4,1024,0.0412010527311322,0.03598251014578138,0.1797472777870947,0.18352666565042586,0.9774033524035779
electricity_transfer,selected,PLAIN,81552,SHIFT8,1024,0.061688012910324184,0.06025534222843473,0.2778434837614088,0.309340235587847,0.9745204605779847
electricity_transfer,selected,PLAIN,81552,SHIFT_POINT,1024,0.045429672070205734,0.04021581089690279,,,
electricity_transfer,fixed1024,SHUFFLE,81551,REFERENCE,1024,8.609493581064251e-05,0.0,,,
