panel,kind,condition,channel,A,D,total,gate,weights,interaction,contribution,leave_out_MAG_gain_pct
electricity,shape,STEP12_D17,1,0.3721826471375561,0.3654225004102022,0.0067601467273539,0.0003418881207671,0.0064182586065868,-0.0014818081851541,0.0016900366818384,0.6460002402428435
electricity,shape,STEP12_D17,2,0.0368225174591817,0.035982323639693,0.0008401938194886,0.0001423999324027,0.0006977938870859,-0.0001765918866678,0.0002100484548721,0.9763967789840828
electricity,shape,STEP12_D17,3,0.3986450351239161,0.3940493719963793,0.0045956631275367,-0.0001731559760042,0.0047688191035409,-0.0007651087427794,0.0011489157818841,0.9476402378399652
electricity,shape,STEP12_D63,0,0.2916170614569295,0.2917777196315942,-0.0001606581746647,-0.000161621948246,9.637735813028403e-07,-7.478594239268554e-05,-4.016454366617683e-05,-0.1317398836311216
electricity,shape,STEP12_D63,1,0.2517741365600553,0.2521682335686257,-0.0003940970085704,-0.0001373204267911,-0.0002567765817792,-0.00019750405089,-9.852425214260108e-05,-0.0866063012094198
electricity,shape,STEP12_D63,2,0.0273285597160862,0.0273361804144886,-7.620698402405202e-06,1.5084725427345208e-05,-2.270542382975041e-05,-7.410353872296799e-05,-1.9051746006013004e-06,-0.1089957187816022
electricity,shape,STEP12_D63,3,0.3145690290239109,0.3149494137569992,-0.0003803847330883,-0.0003105192461492,-6.986548693907468e-05,-0.0002485863753665,-9.509618327208091e-05,-0.0985380081936016
electricity,shape,STEP8_D31,0,0.303194188448533,0.3033739148887574,-0.0001797264402244,2.4660556758787644e-05,-0.0002043869969831,1.547763822767889e-05,-4.493161005610091e-05,-0.0128273701795489
electricity,shape,STEP8_D31,1,0.2344376310008788,0.2344223771378665,1.5253863012265612e-05,-0.0003678960812309,0.0003831499442432,-0.0003070522301342,3.813465753066403e-06,-0.044039965654048
electricity,shape,STEP8_D31,2,0.0198484495890611,0.0199055157163607,-5.7066127299654906e-05,-0.0001302652527311,7.319912543145811e-05,2.2369396963744376e-05,-1.4266531824913728e-05,-0.0234701176838996
electricity,shape,STEP8_D31,3,0.2733853176006816,0.2734111916999717,-2.5874099290168484e-05,-0.0002355725591102,0.00020969845982,-7.136029256499254e-05,-6.468524822542121e-06,-0.0397392906647503
