arm,seed,mode,group,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
SCENARIO3,92301,raw,2019-04,0.2688610874218967,0.2975408175891969,0.3726934797790177,170.90051275889078,0.9375,1.8284938619945557,0.037908909722367136
SCENARIO3,92301,raw,2019-05,0.35144033277166226,0.3846251298433026,0.4852839003862322,222.52942943572998,0.8548387096774194,1.8052619870713964,0.011866319952273446
SCENARIO3,92301,raw,2019-06,0.3574303130170154,0.39542680731789426,0.5159291432335714,236.5819632212321,0.8958333333333334,2.0742695326655216,0.007963138305215505
SCENARIO3,92301,raw,2019-07,0.29830876714684046,0.3264663702983825,0.3959522397065796,181.56593679612683,0.8709677419354839,1.55320596595744,0.10308974051143116
SCENARIO3,92301,raw,2019-08,0.2752103029022311,0.3064257077268033,0.3834766946976456,175.8452114423116,0.875,1.6398817528867586,0.055479462195220736
SCENARIO3,92301,cal,2019-01,0.4211394388601736,0.46550882887249895,0.6008609542192949,275.52788214529716,0.7741935483870968,2.13563879862873,0.0
SCENARIO3,92301,cal,2019-02,0.454362412223644,0.49328907866414046,0.6412068543904256,294.0287022590637,0.75,1.825516759499017,0.0
SCENARIO3,92301,cal,2019-03,0.4497614572620621,0.4934102734028182,0.6259446338651439,287.030132509047,0.7580645161290323,2.072245871666115,0.0004480286738351255
SCENARIO3,92301,cal,2019-04,0.25840003461113537,0.2837687044978861,0.3539436335409411,162.30267429351807,0.8625,1.6285331128797755,0.024537037037037034
SCENARIO3,92301,cal,2019-05,0.34052454032436036,0.3698867325145495,0.4593913039676979,210.65624612377536,0.8185483870967742,1.609067127078746,0.007276483294994231
SCENARIO3,92301,cal,2019-06,0.3526936647921104,0.3872855623265877,0.5012492492147743,229.8504222869873,0.8041666666666667,1.8471697614945282,0.0006803395952010681
SCENARIO3,92301,cal,2019-07,0.2780050379487753,0.30282303995387644,0.3732879454246189,171.17310803936374,0.8064516129032258,1.384902817921966,0.061835726824837775
SCENARIO3,92301,cal,2019-08,0.26334916616674303,0.2905560042140457,0.3556175735348027,163.070268090566,0.8666666666666667,1.4615256446863791,0.02895099847199958
SCENARIO3,92302,raw,2019-01,0.429908984064647,0.47744634657352464,0.6113511689901062,280.3382241033739,0.9153225806451613,2.6290256241716135,0.01245762995960247
