candidate,baseline,seed,mode,metric,candidate_score,baseline_score,gain_pct
MEDOID3,FULL9,92302,raw,nmae,0.1616811638522962,0.160916443403664,-0.47522828149628715
MEDOID3,FULL9,92301,cal,crps,0.11005380116988411,0.10998070021858683,-0.06646707208810554
MEDOID3,FULL9,92301,cal,pinball,0.12090546612258465,0.12077572350254412,-0.10742441964157745
MEDOID3,FULL9,92301,cal,nmae,0.1610521925569024,0.16076661769687944,-0.17763318287966623
MEDOID3,FULL9,92302,cal,crps,0.11007979296980955,0.11002468494332578,-0.050086965949658335
MEDOID3,FULL9,92302,cal,pinball,0.12090382843021556,0.12078830370912609,-0.0956423076920343
MEDOID3,FULL9,92302,cal,nmae,0.1616811638522962,0.160916443403664,-0.47522828149628715
GLOBAL3,FULL9,92301,raw,crps,0.10991856732961797,0.10998070021858683,0.05649435659654811
GLOBAL3,FULL9,92301,raw,pinball,0.12050282157224276,0.12077572350254412,0.22595760338840476
GLOBAL3,FULL9,92301,raw,nmae,0.16096778712214543,0.16076661769687944,-0.12513134141149962
GLOBAL3,FULL9,92302,raw,crps,0.11001893307008942,0.11002468494332578,0.005227802505702872
GLOBAL3,FULL9,92302,raw,pinball,0.1205382492720104,0.12078830370912609,0.20701875052228091
GLOBAL3,FULL9,92302,raw,nmae,0.16133789350628577,0.160916443403664,-0.26190617547054984
GLOBAL3,FULL9,92301,cal,crps,0.10991856732961797,0.10998070021858683,0.05649435659654811
GLOBAL3,FULL9,92301,cal,pinball,0.12050282157224276,0.12077572350254412,0.22595760338840476
GLOBAL3,FULL9,92301,cal,nmae,0.16096778712214543,0.16076661769687944,-0.12513134141149962
GLOBAL3,FULL9,92302,cal,crps,0.11001893307008942,0.11002468494332578,0.005227802505702872
GLOBAL3,FULL9,92302,cal,pinball,0.1205382492720104,0.12078830370912609,0.20701875052228091
GLOBAL3,FULL9,92302,cal,nmae,0.16133789350628577,0.160916443403664,-0.26190617547054984
