source,seed,arm,round,batch,wall_ms,cuda_stream_ms
ettm1,81551,B0,3,32,10.527184989769012,10.506415843963623
ettm1,81551,B0,4,1,10.265605465974659,10.245520114898682
ettm1,81551,B0,4,32,10.983434010995552,10.960768222808838
ettm1,81551,B0,5,1,10.120168008143082,10.098112106323242
ettm1,81551,B0,5,32,10.509641491807997,10.487760066986084
ettm1,81551,MAG_ONLY,0,1,10.76975351315923,10.744287967681885
ettm1,81551,MAG_ONLY,0,32,11.400492017855868,11.37334394454956
ettm1,81551,MAG_ONLY,1,1,11.006268992787227,10.972015857696533
ettm1,81551,MAG_ONLY,1,32,11.078329524025321,11.050368309020996
ettm1,81551,MAG_ONLY,2,1,10.741995502030477,10.722271919250488
ettm1,81551,MAG_ONLY,2,32,11.327577492920682,11.308159828186035
ettm1,81551,MAG_ONLY,3,1,11.040541983675212,11.016687870025635
ettm1,81551,MAG_ONLY,3,32,11.278871999820694,11.252592086791992
ettm1,81551,MAG_ONLY,4,1,10.722123523009941,10.70254373550415
ettm1,81551,MAG_ONLY,4,32,11.124875512905419,11.099040031433105
ettm1,81551,MAG_ONLY,5,1,10.726015985710546,10.69710397720337
ettm1,81551,MAG_ONLY,5,32,10.973566008033231,10.952095985412598
ettm1,81551,PETSA_XY_OFFLINE,0,1,10.46940148808062,10.450687885284424
ettm1,81551,PETSA_XY_OFFLINE,0,32,10.978157020872459,10.953983783721924
ettm1,81551,PETSA_XY_OFFLINE,1,1,10.755855997558683,10.729856014251709
ettm1,81551,PETSA_XY_OFFLINE,1,32,10.739068005932495,10.718367576599121
ettm1,81551,PETSA_XY_OFFLINE,2,1,10.881434485781938,10.852384090423584
ettm1,81551,PETSA_XY_OFFLINE,2,32,10.920975502813235,10.892528057098389
ettm1,81551,PETSA_XY_OFFLINE,3,1,10.480805998668075,10.454352378845215
ettm1,81551,PETSA_XY_OFFLINE,3,32,11.507882009027526,11.488624095916748
ettm1,81551,PETSA_XY_OFFLINE,4,1,10.606274008750916,10.587503910064697
ettm1,81551,PETSA_XY_OFFLINE,4,32,10.949410003377125,10.919503688812256
ettm1,81551,PETSA_XY_OFFLINE,5,1,10.746240033768117,10.720767974853516
ettm1,81551,PETSA_XY_OFFLINE,5,32,11.130602011689916,11.106480121612549
ettm1,81551,PLAIN,0,1,10.517841001274064,10.494607925415039
ettm1,81551,PLAIN,0,32,11.198246997082606,11.174992084503174
ettm1,81551,PLAIN,1,1,10.379965009633452,10.349424362182617
ettm1,81551,PLAIN,1,32,10.712609975598752,10.694975852966309
ettm1,81551,PLAIN,2,1,10.35839450196363,10.334559917449951
ettm1,81551,PLAIN,2,32,10.556730499956757,10.53715181350708
ettm1,81551,PLAIN,3,1,10.37791051203385,10.356256008148193
ettm1,81551,PLAIN,3,32,11.10284446622245,11.074592113494873
ettm1,81551,PLAIN,4,1,10.470493987668306,10.44491195678711
ettm1,81551,PLAIN,4,32,11.00540001061745,10.98137617111206
ettm1,81551,PLAIN,5,1,10.226694983430207,10.174223899841309
ettm1,81551,PLAIN,5,32,10.768605512566864,10.746816158294678
ettm1,81551,TOKEN_GATE,0,1,10.163109487621114,10.14467191696167
ettm1,81551,TOKEN_GATE,0,32,11.414900480303913,11.379184246063232
ettm1,81551,TOKEN_GATE,1,1,10.701937484554946,10.680271625518799
ettm1,81551,TOKEN_GATE,1,32,11.14751148270443,11.117760181427002
ettm1,81551,TOKEN_GATE,2,1,11.017626035027206,10.995744228363037
ettm1,81551,TOKEN_GATE,2,32,10.998100508004427,10.96937608718872
ettm1,81551,TOKEN_GATE,3,1,10.763911996036768,10.73632001876831
ettm1,81551,TOKEN_GATE,3,32,10.710171045502648,10.68675184249878
ettm1,81551,TOKEN_GATE,4,1,10.50863100681454,10.438144207000732
ettm1,81551,TOKEN_GATE,4,32,11.054881470045075,11.032320022583008
