source,seed,round,batch,baseline,wall_ratio,cuda_ratio
ettm1,81552,1,1,PETSA_XY_OFFLINE,1.0030295440140407,1.0030000820530633
ettm1,81552,1,32,B0,1.087648383111787,1.0886294974688957
ettm1,81552,1,32,PLAIN,1.011598499789873,1.011905672558165
ettm1,81552,1,32,TOKEN_GATE,1.0082839643398098,1.008578504611407
ettm1,81552,1,32,TOKEN_GATE_ENTROPY,1.0344320847103654,1.0346089737151751
ettm1,81552,1,32,PETSA_XY_OFFLINE,0.9997934924050447,1.000144177479065
ettm1,81552,2,1,B0,1.061435270101643,1.0619248758661939
ettm1,81552,2,1,PLAIN,1.0249477413676382,1.0241435557476852
ettm1,81552,2,1,TOKEN_GATE,1.039808219573394,1.0389833643846593
ettm1,81552,2,1,TOKEN_GATE_ENTROPY,1.0255647419047678,1.0252095275688289
ettm1,81552,2,1,PETSA_XY_OFFLINE,1.024559645416477,1.0242339402757483
ettm1,81552,2,32,B0,1.068962741317587,1.0703056388999375
ettm1,81552,2,32,PLAIN,0.983151800165387,0.9840850308924416
ettm1,81552,2,32,TOKEN_GATE,1.033302915003147,1.0337405584108927
ettm1,81552,2,32,TOKEN_GATE_ENTROPY,1.018103455443201,1.0179545107172245
ettm1,81552,2,32,PETSA_XY_OFFLINE,1.0140193604514842,1.0148543751829875
ettm1,81552,3,1,B0,1.0162844367219572,1.0164331882726807
ettm1,81552,3,1,PLAIN,0.7763305717992816,0.7774751978775051
ettm1,81552,3,1,TOKEN_GATE,1.0071850529397952,1.0081679102675813
ettm1,81552,3,1,TOKEN_GATE_ENTROPY,0.9983810351182445,0.9992015361578224
ettm1,81552,3,1,PETSA_XY_OFFLINE,1.0488216027925223,1.0492175605906986
ettm1,81552,3,32,B0,1.0646034626394694,1.0646489064743834
ettm1,81552,3,32,PLAIN,1.0982566815492885,1.0980235916915526
ettm1,81552,3,32,TOKEN_GATE,1.0552754625326015,1.0547522585631741
ettm1,81552,3,32,TOKEN_GATE_ENTROPY,1.070891350987858,1.071449661455942
ettm1,81552,3,32,PETSA_XY_OFFLINE,1.1022867425780345,1.1018609415328
ettm1,81552,4,1,B0,1.078729077770416,1.0781810609673734
ettm1,81552,4,1,PLAIN,1.0269866938258416,1.0270573802867036
ettm1,81552,4,1,TOKEN_GATE,0.9552426022665524,0.9547159831478492
ettm1,81552,4,1,TOKEN_GATE_ENTROPY,1.0500900402582962,1.0498267570610262
ettm1,81552,4,1,PETSA_XY_OFFLINE,0.9946999697117175,0.994294560907074
ettm1,81552,4,32,B0,1.0675607134170577,1.0675201094688906
ettm1,81552,4,32,PLAIN,1.0291004248314355,1.0301013235774454
ettm1,81552,4,32,TOKEN_GATE,0.9867087549770114,0.98787105941597
ettm1,81552,4,32,TOKEN_GATE_ENTROPY,1.04274346168415,1.0430783407858968
ettm1,81552,4,32,PETSA_XY_OFFLINE,0.9731359608156441,0.9737658035002016
ettm1,81552,5,1,B0,1.083870825747941,1.0835800113198741
ettm1,81552,5,1,PLAIN,1.0878922535906619,1.087223514386939
ettm1,81552,5,1,TOKEN_GATE,1.0597579439284697,1.0588802904191248
ettm1,81552,5,1,TOKEN_GATE_ENTROPY,1.0512229548279697,1.050949831132554
ettm1,81552,5,1,PETSA_XY_OFFLINE,1.0784772075087476,1.0779320185465278
ettm1,81552,5,32,B0,1.0662749063227155,1.0654029646967822
ettm1,81552,5,32,PLAIN,1.0564779891072893,1.055479313159016
ettm1,81552,5,32,TOKEN_GATE,1.0218936846037765,1.0224611681607036
ettm1,81552,5,32,TOKEN_GATE_ENTROPY,1.0124024422872429,1.0114711015834157
ettm1,81552,5,32,PETSA_XY_OFFLINE,1.0242240860396101,1.0242626516415727
