scope,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,bootstrap_seed,replicates
ALL,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.10844566103922852,0.10712619311150291,-1.2316949659101892,-5.096122430595849,2.4197884314320315,61916,2000
ALL,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.11258708905414168,0.11049291735727003,-1.8952994879303553,-5.82802209937482,1.6108648134912062,61916,2000
ALL,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.12175360404331681,0.1186972442851072,-2.5749205692327033,-6.185518370797076,0.5268441649477089,61916,2000
ALL,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.11107009492531905,0.10869631389673519,-2.183865251253163,-5.973476584251225,1.2388604010442823,61916,2000
ALL,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.12175360404331681,0.11934717730591728,-2.016324802748579,-5.697589408399806,0.8841914313480962,61916,2000
ADDITIONAL,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.11036280063996332,0.10508823711015489,-5.019175956182005,-10.359201235694323,0.025738075036030518,61916,2000
ADDITIONAL,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.11487638499935315,0.11187694894075766,-2.6810134589778567,-7.494202371409628,2.0568841553932486,61916,2000
ADDITIONAL,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.11889111509338625,0.11478491391788566,-3.5773003919644584,-8.700772489562805,0.9710752934342437,61916,2000
ADDITIONAL,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.12583451616463612,0.12064575554716095,-4.300823177693027,-9.136710941921306,-0.10651475316139193,61916,2000
ADDITIONAL,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.1174912042243347,0.1130989638789898,-3.8835372090980314,-8.801093429985807,0.7060851177527054,61916,2000
ADDITIONAL,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.12583451616463612,0.12162065507837606,-3.4647577613724523,-8.301454733635186,0.5408139052460297,61916,2000
T0,SELECTED,RAW,S0,PATH,FROZEN_WEATHER,0.08384523288498315,0.08523022827887197,1.625004909475475,-2.546626937865946,5.830277138040336,61916,2000
T0,SELECTED,RAW,S1,PATH,FROZEN_WEATHER,0.09393909276998502,0.09762468145299348,3.7752632102395935,0.2240789367442988,7.201516275517037,61916,2000
T0,SELECTED,RAW,S2,PATH,FROZEN_WEATHER,0.09804647731265038,0.10190892423603877,3.7900968461233946,-0.6665264929645406,7.408883393533971,61916,2000
T0,SELECTED,RAW,S3,PATH,FROZEN_WEATHER,0.10944795729289222,0.11480022176099972,4.6622422727111665,0.8677999975050867,7.824196506277607,61916,2000
T0,SELECTED,RAW,MEAN,PATH,FROZEN_WEATHER,0.0963196900651277,0.09989101393222599,3.5752203591820253,0.2838895726939862,6.826707281452318,61916,2000
T0,SELECTED,RAW,WORST,PATH,FROZEN_WEATHER,0.10944795729289222,0.11480022176099972,4.6622422727111665,0.8677999975050867,7.824196506277607,61916,2000
T1,SELECTED,RAW,S0,PATH,FROZEN_WEATHER,0.07990963802261487,0.08161036915703702,2.083964515770729,0.2135996063524073,3.8950778836249946,61916,2000
T1,SELECTED,RAW,S1,PATH,FROZEN_WEATHER,0.08966397451644778,0.0940109499977998,4.623903365994868,2.6110300988777446,6.3844838048905475,61916,2000
T1,SELECTED,RAW,S2,PATH,FROZEN_WEATHER,0.09218395981585224,0.09604120648989342,4.016241377025062,1.3709932315474305,5.863097074820599,61916,2000
T1,SELECTED,RAW,S3,PATH,FROZEN_WEATHER,0.10338015485150329,0.10971268881087423,5.771924859381709,4.20532135928424,7.383021752162505,61916,2000
T1,SELECTED,RAW,MEAN,PATH,FROZEN_WEATHER,0.09128443180160455,0.09534380361390113,4.257614714780193,2.692124514223649,5.641852396002993,61916,2000
T1,SELECTED,RAW,WORST,PATH,FROZEN_WEATHER,0.10338015485150329,0.10971268881087423,5.771924859381709,4.20532135928424,7.383021752162505,61916,2000
T2,SELECTED,RAW,S0,PATH,FROZEN_WEATHER,0.13902658658444342,0.12856610506327273,-8.136266954671019,-14.51918583413903,-1.6427093401098254,61916,2000
T2,SELECTED,RAW,S1,PATH,FROZEN_WEATHER,0.1373049642919727,0.12974294788371551,-5.8284604532300115,-12.014869765194408,0.559386488302469,61916,2000
T2,SELECTED,RAW,S2,PATH,FROZEN_WEATHER,0.14131658669347363,0.1335286213458779,-5.832431481055021,-11.861595301152757,0.07459765867907668,61916,2000
T2,SELECTED,RAW,S3,PATH,FROZEN_WEATHER,0.14043457045775537,0.13157882228344767,-6.730375010676576,-12.77945518820119,-0.9601985749091014,61916,2000
T2,SELECTED,RAW,MEAN,PATH,FROZEN_WEATHER,0.1395206770069113,0.13085412414407846,-6.623064362335587,-12.621705388437743,-0.5310610998454796,61916,2000
T2,SELECTED,RAW,WORST,PATH,FROZEN_WEATHER,0.14131658669347363,0.1335286213458779,-5.832431481055021,-12.414523636854344,-0.30833566333057677,61916,2000
