source,method,seed,variant,crossing_reference,window,lead_start,lead_end,n_origins,n_series,scaled_pinball,pce,coverage80,coverage_deficit80,scaled_width80,scaled_mae,raw_mae,scaled_rmse,raw_quantile_crossing_rate,raw_quantile_crossing_any_rate
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,tail_129_256,129,256,209,32,0.20150476796871905,0.05530920844962786,0.664474852347488,0.135525147652512,0.5283035658766664,0.2481973291840577,83.82394540855776,0.38539125793244666,0.0,0.0
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,block_1,1,64,209,32,0.14901223673901154,0.02069289731193514,0.8174692546351674,-0.017469254635167422,0.6006822730532064,0.1867649594206519,60.674600193392855,0.29178402621547905,0.001308897465610048,0.005924790669856459
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,block_2,65,128,209,32,0.17090321534968794,0.032121845511031366,0.7303659539473684,0.06963404605263163,0.5365162961778362,0.212513666853501,71.4032244543371,0.33334250478408,0.0,0.0
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,block_3,129,192,209,32,0.20049202616090245,0.050932069461057945,0.6765639017643541,0.12343609823564597,0.5422352248726245,0.24735320205586347,83.78039144948303,0.38366868366370055,0.0,0.0
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,block_4,193,256,209,32,0.2025175097765356,0.06027135042862839,0.652385802930622,0.147614197069378,0.5143719068807081,0.24904145631225183,83.8674993676325,0.38696545946280936,0.0,0.0
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,prefix_64,1,64,209,32,0.14901223673901154,0.02069289731193514,0.8174692546351674,-0.017469254635167422,0.6006822730532064,0.1867649594206519,60.674600193392855,0.29178402621547905,0.001308897465610048,0.005924790669856459
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,prefix_128,1,128,209,32,0.1599577260443497,0.022751777644869756,0.7739176042912679,0.026082395708732095,0.5685992846155214,0.19963931313707647,66.03891232386499,0.3135429492839097,0.000654448732805024,0.0029623953349282293
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,prefix_192,1,192,209,32,0.17346915941653399,0.030764799170432396,0.7414663701156299,0.05853362988437007,0.5598112647012226,0.21554394277667213,71.952738699071,0.3387691010088133,0.00043629915520334927,0.001974930223285486
Electricity,F0_NATIVE,0,raw,pre_sort_raw_q,prefix_256,1,256,209,32,0.18073124700653442,0.037806908517743223,0.719196228319378,0.08080377168062206,0.5484514252460939,0.22391832116056704,74.93142886621138,0.35159858174079084,0.000327224366402512,0.0014811976674641146
Electricity,F0_NATIVE,0,ordered,pre_sort_raw_q,full_256,1,256,209,32,0.1807296478058286,0.037824690158160555,0.7192464582087321,0.08075354179126798,0.5484576640076234,0.22391551489612238,74.93079004232865,0.35159833531868645,0.000327224366402512,0.0014811976674641146
Electricity,F0_NATIVE,0,ordered,pre_sort_raw_q,tail_129_256,129,256,209,32,0.20150476796871905,0.05530920844962786,0.664474852347488,0.135525147652512,0.5283035658766664,0.2481973291840577,83.82394540855776,0.38539125793244666,0.0,0.0
