panel,kind,arm,trained_b,received_b,i,o,condition,nmae,pinball
electricity,shape,MAG_ONLY,81552,81551,81552,81551,RAMP8_D32,0.4886447183028502,0.381964139225305
electricity,shape,MAG_ONLY,81552,81551,81552,81551,STEP12_D17,0.28688272406513216,0.23595094782311382
electricity,shape,MAG_ONLY,81552,81551,81552,81551,STEP12_D63,0.22496723854287495,0.18197086477914481
electricity,shape,MAG_ONLY,81552,81551,81552,81551,STEP6_D17,0.23462725883868035,0.19208101615118975
electricity,shape,MAG_ONLY,81552,81551,81552,81551,STEP6_D63,0.2052345166881743,0.16662854839787827
electricity,shape,MAG_ONLY,81552,81551,81552,81551,STEP8_D31,0.2128761581728253,0.17407634128249322
electricity,shape,MAG_ONLY,81552,81551,81552,81551,STEP8_D33,0.21521544061386016,0.174912013788935
electricity,shape,MAG_ONLY,81552,81551,81552,81552,PAIRED_SHIFT8_D32,0.21144295475816247,0.17247017340314713
electricity,shape,MAG_ONLY,81552,81551,81552,81552,PULSE8_D32,3.0077021371311563,2.911998900136369
electricity,shape,MAG_ONLY,81552,81551,81552,81552,RAMP8_D32,0.4872788924598497,0.38058931345383784
electricity,shape,MAG_ONLY,81552,81551,81552,81552,STEP12_D17,0.2832581457009091,0.2336616699696223
electricity,shape,MAG_ONLY,81552,81551,81552,81552,STEP12_D63,0.22558916379188532,0.1824725269984982
electricity,shape,MAG_ONLY,81552,81551,81552,81552,STEP6_D17,0.23400611123200737,0.19167232011442942
electricity,shape,MAG_ONLY,81552,81551,81552,81552,STEP6_D63,0.205494646608957,0.16689725825267418
electricity,shape,MAG_ONLY,81552,81551,81552,81552,STEP8_D31,0.21259273426660133,0.17379465029414837
electricity,shape,MAG_ONLY,81552,81551,81552,81552,STEP8_D33,0.2145865196232774,0.17431047989528028
electricity,shape,MAG_ONLY,81552,81552,81551,81551,PAIRED_SHIFT8_D32,0.20709944311575354,0.17054037065977673
electricity,shape,MAG_ONLY,81552,81552,81551,81551,PULSE8_D32,2.9746261747357945,2.867665737032805
electricity,shape,MAG_ONLY,81552,81552,81551,81551,RAMP8_D32,0.43047272792820546,0.33844556582978363
electricity,shape,MAG_ONLY,81552,81552,81551,81551,STEP12_D17,0.3024925690132035,0.2488176621378292
electricity,shape,MAG_ONLY,81552,81552,81551,81551,STEP12_D63,0.21087869069765391,0.17245558779654838
electricity,shape,MAG_ONLY,81552,81552,81551,81551,STEP6_D17,0.23313073791870803,0.19197873278602007
electricity,shape,MAG_ONLY,81552,81552,81551,81551,STEP6_D63,0.1923134005007531,0.15713369229922877
electricity,shape,MAG_ONLY,81552,81552,81551,81551,STEP8_D31,0.20909205985427304,0.1728747330090655
electricity,shape,MAG_ONLY,81552,81552,81551,81551,STEP8_D33,0.21243451532359842,0.17437384798449115
electricity,shape,MAG_ONLY,81552,81552,81551,81552,PAIRED_SHIFT8_D32,0.20629096574828049,0.16984002194770534
electricity,shape,MAG_ONLY,81552,81552,81551,81552,PULSE8_D32,2.9777065173551915,2.8707444789561047
electricity,shape,MAG_ONLY,81552,81552,81551,81552,RAMP8_D32,0.42702628501316386,0.3358719465608876
electricity,shape,MAG_ONLY,81552,81552,81551,81552,STEP12_D17,0.29642074494073906,0.24423895391723185
electricity,shape,MAG_ONLY,81552,81552,81551,81552,STEP12_D63,0.21123493445651975,0.17278660715393301
