dataset,seed,role,channel,head_mse,lora_head_mse,lora_added_gain_percent
traffic,41000,matched_old_epoch,column_031,0.48115622679107256,0.4596608165363233,4.467449252004172
traffic,41001,selected,column_000,0.6547434147767356,0.5821931508453004,11.080716857026268
traffic,41001,selected,column_001,0.39759267688288746,0.3437692125578679,13.53733794771916
traffic,41001,selected,column_002,0.4266295391297343,0.38963389424260336,8.671608853572812
traffic,41001,selected,column_003,0.7701662785651107,0.6954162967716924,9.70569393568935
traffic,41001,selected,column_004,0.381275272333255,0.3361346794486637,11.839370701474701
traffic,41001,selected,column_005,0.4420181366316573,0.34173390686157107,22.68780881578511
traffic,41001,selected,column_006,0.33981069877631315,0.2788210836298693,17.948115043485263
traffic,41001,selected,column_007,0.1983367718749159,0.18022450594589928,9.132076597696873
traffic,41001,selected,column_008,0.5496644195975402,0.5112476775747683,6.989126574883694
traffic,41001,selected,column_009,0.42491320694611057,0.36106104484400814,15.027106961681342
traffic,41001,selected,column_010,0.47949668333670425,0.43732005121328615,8.796021659612089
traffic,41001,selected,column_011,0.24639677207470068,0.2167930150742089,12.014669166005447
traffic,41001,selected,column_012,1.1900968797802416,1.087891005815122,8.588029739561405
traffic,41001,selected,column_013,0.4074168255503936,0.3658601875309248,10.200029898944031
traffic,41001,selected,column_014,0.3525140286365746,0.3414652257044548,3.1342874423617877
traffic,41001,selected,column_015,0.7037113575869227,0.6167766194756541,12.353749470432613
traffic,41001,selected,column_016,0.2930952632726584,0.27044258065167587,7.728778134469325
traffic,41001,selected,column_017,0.1933568894967027,0.171272701563452,11.421464210938966
traffic,41001,selected,column_018,0.21610127876631766,0.18712204239612104,13.410025399032218
traffic,41001,selected,column_019,0.544582241663411,0.4335026658240881,20.397208601594038
traffic,41001,selected,column_020,0.09515074355292986,0.050694413323127165,46.72199981818619
traffic,41001,selected,column_021,0.7755507698949484,0.6898884411369179,11.045354099723712
traffic,41001,selected,column_022,0.29414082714312173,0.262912256412291,10.616877308105101
traffic,41001,selected,column_023,0.4046435214469114,0.3655892807370474,9.651517604981073
traffic,41001,selected,column_024,0.2972590965891379,0.2478242144641015,16.63023358823018
traffic,41001,selected,column_025,0.5530397087388174,0.4910133539344603,11.215533681262318
traffic,41001,selected,column_026,0.28046876962181944,0.2408494038371632,14.126123859736149
traffic,41001,selected,column_027,0.11500297654312117,0.11013157687525475,4.235890073714613
traffic,41001,selected,column_028,0.45906654664178875,0.4218856531745765,8.099238278023478
traffic,41001,selected,column_029,0.8830134992524719,0.7647822071985302,13.389522601186972
traffic,41001,selected,column_030,0.31531539870633507,0.28606823200603465,9.275527557580336
traffic,41001,selected,column_031,0.3878895843868246,0.30966187465535994,20.167520057319127
traffic,41001,matched_old_epoch,column_000,0.8324094955845429,0.7999415366879655,3.9004791594523334
traffic,41001,matched_old_epoch,column_001,0.4955047952135815,0.43794878630635053,11.615631062141812
traffic,41001,matched_old_epoch,column_002,0.48668423026317126,0.48857542509569707,-0.38858765395031597
traffic,41001,matched_old_epoch,column_003,0.8869695635836155,0.8235782208682901,7.146958060117172
traffic,41001,matched_old_epoch,column_004,0.532102788024098,0.47191967066181967,11.310430750750509
traffic,41001,matched_old_epoch,column_005,0.5595933575039544,0.49763398373782897,11.072213945228548
traffic,41001,matched_old_epoch,column_006,0.46472302660787385,0.41018952502971184,11.73462437964722
traffic,41001,matched_old_epoch,column_007,0.2998415037510743,0.2534870889527304,15.459639248883608
traffic,41001,matched_old_epoch,column_008,0.7094801057078188,0.6277205883361643,11.523863278743592
traffic,41001,matched_old_epoch,column_009,0.5070511745286382,0.4775704397222828,5.814153735815943
traffic,41001,matched_old_epoch,column_010,0.5717491326106605,0.5574090347872119,2.5081101143031637
traffic,41001,matched_old_epoch,column_011,0.33132904851826545,0.300227504970368,9.386905158779912
traffic,41001,matched_old_epoch,column_012,1.326340863816675,1.222999589181027,7.791456740484745
traffic,41001,matched_old_epoch,column_013,0.4839705929348201,0.4482347702073233,7.383883080745285
traffic,41001,matched_old_epoch,column_014,0.4362483031470031,0.40272732895839986,7.683920819127548
traffic,41001,matched_old_epoch,column_015,0.7931650092788184,0.7219632366663243,8.976918015739743
traffic,41001,matched_old_epoch,column_016,0.36635331719369085,0.34358036500276,6.216117371441948
traffic,41001,matched_old_epoch,column_017,0.24632163277118324,0.2373500641844308,3.6422170825273965
traffic,41001,matched_old_epoch,column_018,0.3134800432430084,0.27377017284408,12.66743170892874
traffic,41001,matched_old_epoch,column_019,0.7955310176290125,0.7121971276906444,10.475253395742513
traffic,41001,matched_old_epoch,column_020,0.17406526733584865,0.13139833491941666,24.512031072866858
traffic,41001,matched_old_epoch,column_021,0.9374055220060492,0.8624930178228631,7.991472465712939
traffic,41001,matched_old_epoch,column_022,0.3821470995765988,0.35549121913311305,6.975293145759641
traffic,41001,matched_old_epoch,column_023,0.4628133983654014,0.47968934888298415,-3.6463833106790897
traffic,41001,matched_old_epoch,column_024,0.38123978967198,0.3482636629817559,8.649707502618476
traffic,41001,matched_old_epoch,column_025,0.6766879697454903,0.6518585103429236,3.669262719700082
traffic,41001,matched_old_epoch,column_026,0.3865189503085843,0.3238079539525817,16.224559314863125
traffic,41001,matched_old_epoch,column_027,0.11764436678549285,0.11701392667102864,0.5358863596195187
traffic,41001,matched_old_epoch,column_028,0.5403125567407828,0.5123043687810211,5.183701102323025
traffic,41001,matched_old_epoch,column_029,1.0939377625492572,0.985511551609022,9.911552069247909
traffic,41001,matched_old_epoch,column_030,0.4252787565294441,0.38650922156850204,9.116264183362247
traffic,41001,matched_old_epoch,column_031,0.46365635943960687,0.49367224580083674,-6.47373550478381
