method,baseline,policy,condition,seed,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates
A3,A1,selected,d0_c3,73101,0.3328774942559224,0.33203718274259714,-0.2530775337823181,-0.5487931417302173,0.2447800218905455,2000
A3,A1,selected,d0_c3,73102,0.3348795841970147,0.3325943359017374,-0.6870977790651326,-1.1961306180600608,-0.3222645694084749,2000
A3,A1,selected,d0_c3,MEAN,0.33387853922646854,0.3323157593221673,-0.47026957357932714,-0.8721607143294853,-0.037389089781695806,2000
A3,A0,selected,d0_c3,73101,0.3328774942559224,0.35034496502096685,4.985791864883542,-2.502674900920594,8.023494898677942,2000
A3,A0,selected,d0_c3,73102,0.3348795841970147,0.3466646673997102,3.3995628372207607,-0.2670335845337506,5.378581170319937,2000
A3,A0,selected,d0_c3,MEAN,0.33387853922646854,0.3485048162103385,4.19686509441016,-1.3746965485015716,6.7132298810752,2000
A3,A2,selected,d12_c0,73101,0.5227084574914442,0.5211442498934115,-0.30014868212643586,-0.6115962119863589,0.10989854921403684,2000
A3,A2,selected,d12_c0,73102,0.5511770045440059,0.5494750340851816,-0.30974482064646597,-0.416188714637088,-0.13923049366893805,2000
A3,A2,selected,d12_c0,MEAN,0.536942731017725,0.5353096419892965,-0.3050737181493113,-0.5097942516886506,-0.01387510651174016,2000
A3,A1,selected,d12_c0,73101,0.5227084574914442,0.4898998073303328,-6.697012260506774,-16.502906878280335,-2.5680238728688494,2000
A3,A1,selected,d12_c0,73102,0.5511770045440059,0.5165441460401403,-6.704723840036365,-12.876754419547275,-1.5233319782058494,2000
A3,A1,selected,d12_c0,MEAN,0.536942731017725,0.5032219766852366,-6.7009701274594065,-14.593957527219727,-2.0456700254241214,2000
A3,A0,selected,d12_c0,73101,0.5227084574914442,0.36954854208365717,-41.445141291645314,-178.4310563169493,-19.127335632473688,2000
A3,A0,selected,d12_c0,73102,0.5511770045440059,0.381518342752523,-44.46933286810124,-213.16126260948522,-9.818047290915944,2000
A3,A0,selected,d12_c0,MEAN,0.536942731017725,0.37553344241809006,-42.981335446533755,-195.42016544272374,-14.307147318975796,2000
A3,A2,selected,d12_c1,73101,0.31053547854455094,0.30962383982855557,-0.29443427757376744,-0.4681208151127741,-0.011996459046062597,2000
A3,A2,selected,d12_c1,73102,0.3301364730861278,0.3288835191912796,-0.38097193131756624,-0.49869920483284824,-0.03400016253461998,2000
A3,A2,selected,d12_c1,MEAN,0.32033597581533935,0.31925367950991757,-0.33900824794978135,-0.4841063584575937,-0.023053789199000738,2000
A3,A1,selected,d12_c1,73101,0.31053547854455094,0.29328222294471434,-5.8828167035166485,-10.30905215951429,-0.1846634895528994,2000
A3,A1,selected,d12_c1,73102,0.3301364730861278,0.31519709037596155,-4.739695627376137,-7.568846720585221,-1.1046167331168009,2000
A3,A1,selected,d12_c1,MEAN,0.32033597581533935,0.3042396566603379,-5.2906709571302954,-8.859154247468702,-0.6449079753575239,2000
A3,A0,selected,d12_c1,73101,0.31053547854455094,0.30303182216823993,-2.47619419063687,-56.108370208888935,28.470705381042514,2000
