panel,kind,condition,factor,excluded,removed_cells,gain_pct,change_pp
electricity,shape,STEP8_D31,index_week,132,24,-0.02932907235644729,0.0004486447352637646
electricity,shape,STEP8_D31,index_week,133,24,-0.02896384438538602,0.0008138727063250334
electricity,shape,STEP8_D31,index_week,134,24,-0.048927422572381356,-0.0191497054806703
electricity,shape,STEP8_D31,index_week,135,24,-0.028796242549481023,0.0009814745422300312
electricity,shape,STEP8_D31,index_week,136,36,-0.02054918252801885,0.009228534563692204
electricity,shape,STEP8_D31,index_week,137,24,-0.029599338293956886,0.00017837879775416815
electricity,shape,STEP8_D31,index_week,138,24,-0.03132152099175829,-0.001543803900047238
electricity,shape,STEP8_D31,index_week,139,24,-0.01878193210593458,0.010995784985776472
electricity,shape,STEP8_D31,index_week,140,24,-0.025725828545368083,0.004051888546342971
electricity,shape,STEP8_D31,index_week,141,24,-0.03569775459633711,-0.005920037504626056
electricity,shape,STEP8_D31,index_week,142,24,-0.0344038319567795,-0.004626114865068445
electricity,shape,STEP8_D31,index_week,143,24,-0.026207795398746497,0.0035699216929645575
electricity,shape,STEP8_D31,index_week,144,24,-0.02955045077353796,0.00022726631817309578
electricity,shape,STEP8_D31,index_week,145,24,-0.028659006141649773,0.0011187109500612816
electricity,shape,STEP8_D31,index_week,146,24,-0.02905244957542439,0.0007252675162866644
electricity,shape,STEP8_D31,index_week,147,24,-0.023820213000124147,0.005957504091586907
electricity,shape,STEP8_D31,index_week,148,24,-0.028670330221126653,0.0011073868705844016
electricity,shape,STEP8_D31,index_week,149,36,-0.04342189559448533,-0.013644178502774277
electricity,shape,STEP8_D31,index_week,150,24,-0.020583129851378567,0.009194587240332487
electricity,shape,STEP8_D31,index_week,151,24,-0.029317185497124528,0.000460531594586526
electricity,shape,STEP8_D31,index_week,152,24,-0.028475668415880825,0.0013020486758302287
electricity,shape,STEP8_D31,index_week,153,24,-0.025793887780636383,0.003983829311074671
electricity,shape,STEP8_D31,index_week,154,24,-0.04324238831970215,-0.0134646712279911
electricity,shape,STEP8_D31,index_week,155,12,-0.024825527595664372,0.004952189496046682
electricity,shape,STEP8_D31,index_week,156,12,-0.024371021057105754,0.0054066960346053
electricity,shape,STEP8_D33,seed,81551,256,0.17631871363129972,0.05869746613327405
electricity,shape,STEP8_D33,seed,81552,256,-4.3651588857768556e-05,-0.11766489908688345
electricity,shape,STEP8_D33,seed,81553,256,0.17610582981811249,0.05848458232008681
electricity,shape,STEP8_D33,channel,0,192,0.23714876669751644,0.11952751919949077
electricity,shape,STEP8_D33,channel,1,192,0.032462257722461266,-0.08515898977556441
