panel,kind,stage,condition,baseline,seed,TRP_nmae,baseline_nmae,gain_pct
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,PLAIN,81552,0.4169123344004082,0.38984106580061734,-6.9441808405162675
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,ANCHOR,81551,0.3891385477071452,0.3891331741190876,-0.0013809123495356346
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,ANCHOR,81552,0.4169123344004082,0.4169382981185264,0.006227232718936104
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,SHUFFLE,81551,0.3891385477071452,0.3893229136297189,0.04735552830806844
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,SHUFFLE,81552,0.4169123344004082,0.4140814284290931,-0.6836592459736002
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,IDEAL,81551,0.3891385477071452,0.3570104807149952,-8.999194345164941
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,IDEAL,81552,0.4169123344004082,0.35281107139631696,-18.168722072807487
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,B0,81551,0.3891385477071452,0.3891380736575109,-0.00012182041964070578
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,B0,81552,0.4169123344004082,0.41691357537816215,0.00029765827433969605
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,C3,81551,0.3891385477071452,0.36171581781453604,-7.581291318222005
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,C3,81552,0.4169123344004082,0.37048553698569403,-12.531338683946224
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,81551,0.3891385477071452,0.36191019620329584,-7.523510470137285
electricity_transfer,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,81552,0.4169123344004082,0.36958912114932196,-12.804276571757267
electricity_transfer,shape,fixed1024,PULSE8_D32,PLAIN,81551,7.026540630662803,6.978324878503411,-0.6909359050897512
electricity_transfer,shape,fixed1024,PULSE8_D32,PLAIN,81552,6.886697737319455,6.931444756590374,0.6455655471880428
electricity_transfer,shape,fixed1024,PULSE8_D32,ANCHOR,81551,7.026540630662803,7.026522130418528,-0.00026329162465810185
electricity_transfer,shape,fixed1024,PULSE8_D32,ANCHOR,81552,6.886697737319455,6.8866514246390995,-0.0006724992670514851
electricity_transfer,shape,fixed1024,PULSE8_D32,SHUFFLE,81551,7.026540630662803,7.025650616211796,-0.012668071608246123
electricity_transfer,shape,fixed1024,PULSE8_D32,SHUFFLE,81552,6.886697737319455,6.892940892122241,0.09057316609114574
electricity_transfer,shape,fixed1024,PULSE8_D32,IDEAL,81551,7.026540630662803,7.140247527237579,1.5924783579424173
electricity_transfer,shape,fixed1024,PULSE8_D32,IDEAL,81552,6.886697737319455,7.146612638280059,3.636896444735205
electricity_transfer,shape,fixed1024,PULSE8_D32,B0,81551,7.026540630662803,7.026497943596206,-0.000607515535322456
electricity_transfer,shape,fixed1024,PULSE8_D32,B0,81552,6.886697737319455,6.886718787792802,0.0003056676770918365
electricity_transfer,shape,fixed1024,PULSE8_D32,C3,81551,7.026540630662803,7.035548092758298,0.12802786615540018
electricity_transfer,shape,fixed1024,PULSE8_D32,C3,81552,6.886697737319455,6.973685149933863,1.2473665034222647
electricity_transfer,shape,fixed1024,PULSE8_D32,MAG_ONLY,81551,7.026540630662803,7.030768400702081,0.06013240371929296
electricity_transfer,shape,fixed1024,PULSE8_D32,MAG_ONLY,81552,6.886697737319455,6.976121121535962,1.2818496505235255
electricity_transfer,shape,fixed1024,RAMP8_D32,PLAIN,81551,0.9525143877217841,1.0386882550213248,8.296412988493017
electricity_transfer,shape,fixed1024,RAMP8_D32,PLAIN,81552,0.8837818015880823,0.8352613781203919,-5.809010776587931
electricity_transfer,shape,fixed1024,RAMP8_D32,ANCHOR,81551,0.9525143877217841,0.9526489160480209,0.014121501003216963
electricity_transfer,shape,fixed1024,RAMP8_D32,ANCHOR,81552,0.8837818015880823,0.8839124283458369,0.01477824652823534
electricity_transfer,shape,fixed1024,RAMP8_D32,SHUFFLE,81551,0.9525143877217841,0.9531799555102637,0.06982603700718126
electricity_transfer,shape,fixed1024,RAMP8_D32,SHUFFLE,81552,0.8837818015880823,0.8814709420029215,-0.2621594740162214
electricity_transfer,shape,fixed1024,RAMP8_D32,IDEAL,81551,0.9525143877217841,0.6625090582515709,-43.77379084228175
electricity_transfer,shape,fixed1024,RAMP8_D32,IDEAL,81552,0.8837818015880823,0.7066653682587696,-25.063692277114047
electricity_transfer,shape,fixed1024,RAMP8_D32,B0,81551,0.9525143877217841,0.9525609827854461,0.0048915570240670725
electricity_transfer,shape,fixed1024,RAMP8_D32,B0,81552,0.8837818015880823,0.8839357963111114,0.01742148283526701
electricity_transfer,shape,fixed1024,RAMP8_D32,C3,81551,0.9525143877217841,0.9913142496559669,3.9139820644813916
electricity_transfer,shape,fixed1024,RAMP8_D32,C3,81552,0.8837818015880823,0.8239866062898826,-7.256816414460432
electricity_transfer,shape,fixed1024,RAMP8_D32,MAG_ONLY,81551,0.9525143877217841,0.9905155908223963,3.836507315251936
electricity_transfer,shape,fixed1024,RAMP8_D32,MAG_ONLY,81552,0.8837818015880823,0.8071151584043037,-9.498848136534988
electricity_transfer,shape,fixed1024,STEP12_D17,PLAIN,81551,0.5822791521465043,0.6051423290330401,3.778148675051207
