dataset,seed,arm,role,channel,valid_count,standardized_mse,standardized_mae,raw_mae
electricity,41001,INDIV_BUDGET,selected,column_019,5184,1.734786710291687,1.0257599287094454,47.71888739353508
electricity,41001,INDIV_BUDGET,selected,column_020,5184,1.1613919701981739,0.8420387703679606,12.344211848092828
electricity,41001,INDIV_BUDGET,selected,column_021,5184,0.5902344632111854,0.6183411017309594,184.79562797908787
electricity,41001,INDIV_BUDGET,selected,column_022,5184,0.5441654232494573,0.54029908457767,18.7836054341828
electricity,41001,INDIV_BUDGET,selected,column_023,5184,0.5606768775516409,0.5779170222004824,17.364279919035283
electricity,41001,INDIV_BUDGET,selected,column_024,5184,0.5655539479297795,0.5841897590045262,50.75639652019924
electricity,41001,INDIV_BUDGET,selected,column_025,5184,1.1175390477180958,0.8280466175045283,101.15256483419212
electricity,41001,INDIV_BUDGET,selected,column_026,5184,0.5161748490256053,0.5546142637974781,58.237376185713956
electricity,41001,INDIV_BUDGET,selected,column_027,5184,0.9038200614156323,0.7499976833994115,12.74430372977506
electricity,41001,INDIV_BUDGET,selected,column_028,5184,0.7843946808410509,0.6967656186041293,89.29163453731702
electricity,41001,INDIV_BUDGET,selected,column_029,5184,1.4545588352897802,0.9498810791944076,95.42055402826931
electricity,41001,INDIV_BUDGET,selected,column_030,5184,0.6373773624448812,0.5860112688179571,87.34197628735265
electricity,41001,INDIV_BUDGET,selected,column_031,5184,0.8700631994537652,0.7713197555489903,90.01390893404985
electricity,41000,FACTOR_BUDGET,INIT,column_000,5184,0.441397609914773,0.3732460629105867,9.200247478094447
electricity,41000,FACTOR_BUDGET,INIT,column_001,5184,0.6571252118431635,0.6341251917228762,16.65954195394322
electricity,41000,FACTOR_BUDGET,INIT,column_002,5184,0.0008382843893621548,0.01838358511061718,1.0730306191783423
electricity,41000,FACTOR_BUDGET,INIT,column_003,5184,1.0042595369173353,0.7753598642893287,118.86642427533428
electricity,41000,FACTOR_BUDGET,INIT,column_004,5184,0.8686522882076145,0.733596033407077,51.109174339206
electricity,41000,FACTOR_BUDGET,INIT,column_005,5184,0.845193771312945,0.7127853962329139,181.72348197966906
electricity,41000,FACTOR_BUDGET,INIT,column_006,5184,0.9279405515940491,0.5339228250325246,15.224149991140273
electricity,41000,FACTOR_BUDGET,INIT,column_007,5184,1.071272752753771,0.8061873275594252,191.17024499656566
electricity,41000,FACTOR_BUDGET,INIT,column_008,5184,0.6663953494649253,0.637620689359221,57.22224721619793
electricity,41000,FACTOR_BUDGET,INIT,column_009,5184,1.2712355673265214,0.8904777205653199,93.38848665717158
electricity,41000,FACTOR_BUDGET,INIT,column_010,5184,0.7699438579114524,0.6779344079525205,34.525728957906125
electricity,41000,FACTOR_BUDGET,INIT,column_011,5184,2.58863971645236,1.315555293364463,194.3166833440226
electricity,41000,FACTOR_BUDGET,INIT,column_012,5184,0.5441286633008567,0.5656246739076947,43.181279387540606
electricity,41000,FACTOR_BUDGET,INIT,column_013,5184,0.9661256922852991,0.7735782019417344,35.7035300484507
electricity,41000,FACTOR_BUDGET,INIT,column_014,5184,0.9988531018345439,0.7988054220345756,42.95996253882401
electricity,41000,FACTOR_BUDGET,INIT,column_015,5184,1.0690077992530362,0.8315778554353506,287.96818281165366
electricity,41000,FACTOR_BUDGET,INIT,column_016,5184,0.9938241135853904,0.783912562104057,7.82479293799653
electricity,41000,FACTOR_BUDGET,INIT,column_017,5184,1.1424398368759439,0.840679021937741,36.9201104363234
electricity,41000,FACTOR_BUDGET,INIT,column_018,5184,0.8192263665311479,0.7145098880588744,145.63438396531888
electricity,41000,FACTOR_BUDGET,INIT,column_019,5184,2.053808001503457,1.1236064054159844,52.270756571821195
electricity,41000,FACTOR_BUDGET,INIT,column_020,5184,1.8276761513661954,1.0526497517421376,15.431749694457647
electricity,41000,FACTOR_BUDGET,INIT,column_021,5184,0.9449253262426078,0.7800083176771745,233.11102317241992
electricity,41000,FACTOR_BUDGET,INIT,column_022,5184,0.8362961385000776,0.6844849403391385,23.796255466581822
electricity,41000,FACTOR_BUDGET,INIT,column_023,5184,1.0455201299343135,0.7946089678932625,23.875075511943994
electricity,41000,FACTOR_BUDGET,INIT,column_024,5184,0.9873109526184036,0.7965416900782499,69.20625574706122
electricity,41000,FACTOR_BUDGET,INIT,column_025,5184,1.545427758805939,0.9828217262873766,120.059591195894
