arm,seed,policy,condition,channel,origin,normalized_MSE,raw_MAE
I0,73101,selected,standard,2,24360,0.0017939274573938206,1.2364547451337178
I0,73101,selected,standard,2,24432,0.0002444331113009857,0.4333640933036804
I0,73101,selected,standard,2,24528,0.0016970958290756508,1.311133046944936
I0,73101,selected,standard,2,24600,2.314568091987766e-05,0.1829825242360433
I0,73101,selected,standard,2,24696,0.0017258642877699803,1.2579562465349834
I0,73101,selected,standard,2,24768,0.00015023793386804402,0.38942333062489826
I0,73101,selected,standard,2,24864,0.001746417340356349,1.0149676005045574
I0,73101,selected,standard,2,24936,0.00040710004795322025,0.5801851550738016
I0,73101,selected,standard,2,25032,0.0017613338719601158,1.0558157364527385
I0,73101,selected,standard,2,25104,0.00040818167222618,0.5795446038246155
I0,73101,selected,standard,2,25200,0.0017147567853984637,1.0709493557612102
I0,73101,selected,standard,2,25272,0.00018333574847039988,0.3632591764132182
I0,73101,selected,standard,2,25344,0.0006606235157493416,0.6356717149416605
I0,73101,selected,standard,2,25440,0.0003124704234066496,0.5960990786552429
I0,73101,selected,standard,2,25512,0.0007006241241381467,0.9933470090230306
I0,73101,selected,standard,2,25608,0.0005297423049774858,0.7099172870318095
I0,73101,selected,standard,2,25680,0.000329863502178376,0.6129612723986307
I0,73101,selected,standard,2,25776,0.00031212917212575974,0.5506543715794882
I0,73101,selected,standard,2,25848,0.0006551832825301396,0.7531646092732748
I0,73101,selected,standard,2,25944,0.0003958207733532524,0.5691629449526469
I0,73101,selected,standard,2,26016,0.0006235169199871122,0.8287012577056885
I0,73101,selected,standard,2,26112,0.0003805077821347279,0.569497287273407
I0,73101,selected,standard,2,26184,0.000599216626370135,0.813443660736084
I0,73101,selected,standard,2,26280,0.0016389646531119186,1.0012411872545879
I0,73101,selected,standard,3,21048,0.597180909343796,42.52944564819336
I0,73101,selected,standard,3,21120,0.13262369699041976,24.98255157470703
I0,73101,selected,standard,3,21192,0.3483392714953437,40.055230458577476
I0,73101,selected,standard,3,21288,0.22524516002346018,35.829095204671226
I0,73101,selected,standard,3,21360,0.29045006484757213,36.06119028727213
I0,73101,selected,standard,3,21456,0.6498378039137064,56.880943298339844
I0,73101,selected,standard,3,21528,0.30822791763068813,36.83207702636719
I0,73101,selected,standard,3,21624,0.46518344591794425,45.64970906575521
I0,73101,selected,standard,3,21696,0.9214943387272253,63.704874674479164
I0,73101,selected,standard,3,21792,0.8787856789711762,70.12165705362956
I0,73101,selected,standard,3,21864,1.0602506626179096,69.55329132080078
I0,73101,selected,standard,3,21960,0.23768450806948882,30.608585357666016
I0,73101,selected,standard,3,22032,0.4792912777322093,44.268777211507164
I0,73101,selected,standard,3,22104,0.6780980408929875,56.086709340413414
I0,73101,selected,standard,3,22200,1.6417699399961612,81.89326858520508
I0,73101,selected,standard,3,22272,0.3059501598635041,37.3057746887207
I0,73101,selected,standard,3,22368,0.352259174081565,42.0656623840332
I0,73101,selected,standard,3,22440,0.3179673771969522,42.3091926574707
I0,73101,selected,standard,3,22536,0.24432784197613988,37.347791035970054
I0,73101,selected,standard,3,22608,0.48429528680216133,44.980220794677734
I0,73101,selected,standard,3,22704,0.23932022310635684,37.46356455485026
I0,73101,selected,standard,3,22776,0.15491650330060128,28.058984120686848
I0,73101,selected,standard,3,22872,0.3621347550025413,40.13827006022135
I0,73101,selected,standard,3,22944,0.05032047726157738,13.571461995442709
I0,73101,selected,standard,3,23040,0.41761338291866296,42.159175872802734
I0,73101,selected,standard,3,23112,0.14708947146271292,27.532618204752605
I0,73101,selected,standard,3,23184,0.7012757853350514,58.160683949788414
I0,73101,selected,standard,3,23280,0.44637572200009323,46.22270075480143
I0,73101,selected,standard,3,23352,0.20073731540709092,30.653018951416016
I0,73101,selected,standard,3,23448,0.26679159171444505,30.831892649332683
I0,73101,selected,standard,3,23520,0.8450063401302502,60.86380259195963
I0,73101,selected,standard,3,23616,0.2876625842033405,38.84097671508789
I0,73101,selected,standard,3,23688,0.7888848663256619,63.10622914632162
I0,73101,selected,standard,3,23784,0.5182075605678325,46.064507802327476
I0,73101,selected,standard,3,23856,0.5790270717239417,48.962014516194664
