source,arm,seed,variant,step,origin,pinball
Electricity,PCA,92342,selected_raw,512,21811,0.17601315446701488
Electricity,PCA,92342,selected_raw,512,21875,0.15617455724089668
Electricity,PCA,92342,selected_raw,512,21939,0.21161072000129838
Electricity,PCA,92342,selected_raw,512,22003,0.15030230057063337
Electricity,PCA,92342,selected_raw,512,22067,0.23158506067268395
Electricity,PCA,92342,selected_raw,512,22131,0.26339764118439635
Electricity,PCA,92342,selected_raw,512,22195,0.21165676636055236
Electricity,PCA,92342,selected_raw,512,22259,0.18166659297287882
Electricity,PCA,92342,selected_raw,512,22323,0.22891956725611695
Electricity,PCA,92342,selected_raw,512,22387,0.17716272150227041
Electricity,PCA,92342,selected_raw,512,22451,0.20673218927134585
Electricity,PCA,92342,selected_raw,512,22515,0.19124770656316212
Electricity,PCA,92342,selected_raw,512,22579,0.2504570263099472
Electricity,PCA,92342,selected_raw,512,22643,0.2404560666608062
Electricity,PCA,92342,selected_raw,512,22707,0.18712023189834565
Electricity,PCA,92342,selected_raw,512,22771,0.2070208746849056
Electricity,PCA,92342,selected_raw,512,22835,0.2211621167700022
Electricity,PCA,92342,selected_raw,512,22899,0.20241173825897935
Electricity,PCA,92342,selected_raw,512,22963,0.22893399953867705
Electricity,PCA,92342,selected_raw,512,23027,0.19974595845416168
Electricity,PCA,92342,selected_raw,512,23091,0.1728285130574711
Electricity,PCA,92342,selected_raw,512,23155,0.20803690187267826
Electricity,PCA,92342,selected_raw,512,23219,0.230582468478551
Electricity,PCA,92342,selected_raw,512,23283,0.17484030062739425
Electricity,PCA,92342,selected_raw,512,23347,0.26257824455211004
Electricity,PCA,92342,selected_raw,512,23411,0.18629598439275213
Electricity,PCA,92342,selected_raw,512,23475,0.23990308196366186
Electricity,PCA,92342,selected_raw,512,23539,0.1744166607842682
Electricity,PCA,92342,selected_raw,512,23603,0.21177565821437988
Electricity,PCA,92342,selected_raw,512,23667,0.19039691217000787
Electricity,PCA,92342,selected_raw,512,23731,0.18727461726195793
Electricity,PCA,92342,selected_raw,512,23795,0.20975827675382852
