dataset,source,budget,seed,arm,candidate_id,origin,channel,scaled_quantile_mean_pinball_numerator,valid_target_count,train_scale,quantile_count,active
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12096,3,33.17780644905935,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12192,0,8.28594114777065,47,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12192,1,11.409274422898333,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12192,2,7.411791493640467,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,12192,3,14.687621840373764,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10752,0,12.683614228245384,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10752,1,13.327122887449441,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10752,2,4.3307357874606325,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10752,3,9.292486466828121,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10848,0,17.577160832146244,44,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10848,1,9.388791936328058,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10848,2,16.686640426278302,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10848,3,15.613843514759013,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10944,0,20.701664625035114,43,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10944,1,17.727078751552117,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10944,2,6.51236948278388,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,10944,3,8.667983141604243,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11040,0,9.127752672152965,10,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11040,1,13.538219849887914,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11040,2,5.928236293731561,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11040,3,12.993177435060188,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11136,0,11.440950460795703,46,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11136,1,23.616304849113522,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11136,2,6.255987250991906,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11136,3,11.721939718967297,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11232,0,6.5284009448080615,20,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11232,1,11.513814561526535,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11232,2,14.367285797250062,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11232,3,16.970517925242696,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11328,0,7.906562525498504,47,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11328,1,16.649264174440535,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11328,2,3.4588546705396457,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11328,3,11.330112628479174,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11424,0,3.1083294216066077,15,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11424,1,37.97586411197139,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11424,2,7.434763697918281,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11424,3,21.01327729512943,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11520,0,12.727283793323856,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,11520,1,16.18384502144722,48,14.591262213468674,21,True
